Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Excitatory Postsynaptic Potential (GO:0060079)	2/18	1.296356e-04	1.673478e-03	0	0	1.468015e+02	1.313988e+03	GRIN2A;GRIN2B
GO_Biological_Process_2023	Response To Ethanol (GO:0045471)	2/18	1.296356e-04	1.673478e-03	0	0	1.468015e+02	1.313988e+03	GRIN2A;GRIN2B
GO_Biological_Process_2023	Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214)	2/20	1.608034e-04	1.902840e-03	0	0	1.304771e+02	1.139760e+03	GABRA2;GABRA5
GO_Biological_Process_2023	Long-Term Synaptic Potentiation (GO:0060291)	2/20	1.608034e-04	1.902840e-03	0	0	1.304771e+02	1.139760e+03	GRIN2A;GRIN2B
GO_Biological_Process_2023	Potassium Ion Transport (GO:0006813)	3/122	1.997966e-04	2.235611e-03	0	0	3.129517e+01	2.665788e+02	KCNC1;SLC17A7;KCNK2
GO_Biological_Process_2023	Modulation Of Chemical Synaptic Transmission (GO:0050804)	3/123	2.046687e-04	2.235611e-03	0	0	3.103281e+01	2.635964e+02	RELN;SYT1;CAMK2A
GO_Biological_Process_2023	Chemical Synaptic Transmission, Postsynaptic (GO:0099565)	2/25	2.531829e-04	2.663109e-03	0	0	1.020870e+02	8.454228e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Response To Alcohol (GO:0097305)	2/29	3.418662e-04	3.236333e-03	0	0	8.694553e+01	6.939202e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Regulation Of Monoatomic Ion Transmembrane Transport (GO:0034765)	2/29	3.418662e-04	3.236333e-03	0	0	8.694553e+01	6.939202e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Regulation Of Neuron Migration (GO:2001222)	2/29	3.418662e-04	3.236333e-03	0	0	8.694553e+01	6.939202e+02	RELN;CAMK2A
GO_Biological_Process_2023	Glutamate Receptor Signaling Pathway (GO:0007215)	2/35	4.993126e-04	4.404070e-03	0	0	7.111586e+01	5.406426e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Brain Development (GO:0007420)	3/169	5.199073e-04	4.404070e-03	0	0	2.238140e+01	1.692450e+02	GRIN2A;RELN;GRIN2B
GO_Biological_Process_2023	Metal Ion Transport (GO:0030001)	3/171	5.380516e-04	4.404070e-03	0	0	2.211272e+01	1.664548e+02	KCNC1;CAMK2A;SLC17A7
GO_Biological_Process_2023	Synaptic Vesicle Cycle (GO:0099504)	2/37	5.582623e-04	4.404070e-03	0	0	6.704538e+01	5.022156e+02	SNAP25;SLC17A7
GO_Biological_Process_2023	Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427)	2/37	5.582623e-04	4.404070e-03	0	0	6.704538e+01	5.022156e+02	CAMK2A;OCIAD2
GO_Biological_Process_2023	Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894)	2/37	5.582623e-04	4.404070e-03	0	0	6.704538e+01	5.022156e+02	CAMK2A;OCIAD2
GO_Biological_Process_2023	Signal Release From Synapse (GO:0099643)	2/38	5.889436e-04	4.520540e-03	0	0	6.517974e+01	4.847535e+02	SNAP25;SYT1
GO_Biological_Process_2023	Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062)	2/39	6.204272e-04	4.636877e-03	0	0	6.341494e+01	4.683259e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Synaptic Vesicle Exocytosis (GO:0016079)	2/41	6.857961e-04	4.994002e-03	0	0	6.015686e+01	4.382385e+02	SNAP25;SYT1
GO_Biological_Process_2023	Monoatomic Cation Transport (GO:0006812)	2/42	7.196786e-04	5.109718e-03	0	0	5.865000e+01	4.244328e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Neurotransmitter Secretion (GO:0007269)	2/43	7.543579e-04	5.225308e-03	0	0	5.721664e+01	4.113673e+02	SNAP25;SYT1
GO_Biological_Process_2023	Chloride Transmembrane Transport (GO:1902476)	2/48	9.396589e-04	6.353884e-03	0	0	5.098465e+01	3.553627e+02	GABRA2;GABRA5
GO_Biological_Process_2023	Positive Regulation Of Developmental Growth (GO:0048639)	2/50	1.019309e-03	6.732180e-03	0	0	4.885539e+01	3.365467e+02	SYT1;BDNF
GO_Biological_Process_2023	Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)	2/53	1.144674e-03	7.388352e-03	0	0	4.597463e+01	3.113694e+02	CAMK2A;OCIAD2
GO_Biological_Process_2023	Monoatomic Anion Transmembrane Transport (GO:0098656)	2/54	1.188028e-03	7.497777e-03	0	0	4.508824e+01	3.036900e+02	GABRA2;GABRA5
GO_Biological_Process_2023	Inorganic Anion Transmembrane Transport (GO:0098661)	2/63	1.613164e-03	9.846873e-03	0	0	3.841851e+01	2.470141e+02	GABRA2;GABRA5
GO_Biological_Process_2023	Regulation Of Secretion By Cell (GO:1903530)	2/64	1.664260e-03	9.846873e-03	0	0	3.779696e+01	2.418391e+02	SYT1;CAMK2A
GO_Biological_Process_2023	Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056)	2/64	1.664260e-03	9.846873e-03	0	0	3.779696e+01	2.418391e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Cellular Response To Type II Interferon (GO:0071346)	2/66	1.768751e-03	1.025154e-02	0	0	3.661213e+01	2.320287e+02	CAMK2A;AQP4
GO_Biological_Process_2023	Synapse Assembly (GO:0007416)	2/71	2.043328e-03	1.160610e-02	0	0	3.395055e+01	2.102617e+02	GABRA2;BDNF
GO_Biological_Process_2023	Central Nervous System Development (GO:0007417)	3/283	2.296403e-03	1.278781e-02	0	0	1.319263e+01	8.016387e+01	GRIN2A;RELN;GRIN2B
GO_Biological_Process_2023	Regulation Of Neuron Differentiation (GO:0045664)	2/79	2.521966e-03	1.359608e-02	0	0	3.041100e+01	1.819404e+02	RELN;BDNF
GO_Biological_Process_2023	Calcium Ion Transmembrane Transport (GO:0070588)	2/80	2.585170e-03	1.359608e-02	0	0	3.001961e+01	1.788557e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Response To Type II Interferon (GO:0034341)	2/80	2.585170e-03	1.359608e-02	0	0	3.001961e+01	1.788557e+02	CAMK2A;AQP4
GO_Biological_Process_2023	Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	2/83	2.779249e-03	1.435103e-02	0	0	2.890341e+01	1.701132e+02	GRIN2A;GRIN2B
GO_Biological_Process_2023	Positive Regulation Of Neuron Projection Development (GO:0010976)	2/92	3.401386e-03	1.724989e-02	0	0	2.600131e+01	1.477803e+02	RELN;BDNF
GO_Biological_Process_2023	Positive Regulation Of Cell Growth (GO:0030307)	2/106	4.486288e-03	2.137389e-02	0	0	2.248529e+01	1.215719e+02	SYT1;BDNF
GO_Biological_Process_2023	Cellular Response To Salt (GO:1902075)	2/109	4.737033e-03	2.137389e-02	0	0	2.185157e+01	1.169571e+02	DLG2;SYT1
GO_Biological_Process_2023	Cerebral Cortex Cell Migration (GO:0021795)	1/5	4.741392e-03	2.137389e-02	0	0	2.774583e+02	1.484797e+03	RELN
GO_Biological_Process_2023	Positive Regulation Of Receptor Binding (GO:1900122)	1/5	4.741392e-03	2.137389e-02	0	0	2.774583e+02	1.484797e+03	BDNF
GO_Biological_Process_2023	Intracellular Water Homeostasis (GO:0009992)	1/5	4.741392e-03	2.137389e-02	0	0	2.774583e+02	1.484797e+03	AQP4
GO_Biological_Process_2023	Regulation Of Basement Membrane Organization (GO:0110011)	1/5	4.741392e-03	2.137389e-02	0	0	2.774583e+02	1.484797e+03	LAMA2
GO_Biological_Process_2023	Neurotransmitter Loading Into Synaptic Vesicle (GO:0098700)	1/5	4.741392e-03	2.137389e-02	0	0	2.774583e+02	1.484797e+03	SLC17A7
GO_Biological_Process_2023	Positive Regulation Of Cell Projection Organization (GO:0031346)	2/118	5.527352e-03	2.375207e-02	0	0	2.014706e+01	1.047253e+02	RELN;BDNF
GO_Biological_Process_2023	Synaptic Vesicle Docking (GO:0016081)	1/6	5.687116e-03	2.375207e-02	0	0	2.219556e+02	1.147411e+03	SNAP25
GO_Biological_Process_2023	Positive Regulation Of Membrane Depolarization (GO:1904181)	1/6	5.687116e-03	2.375207e-02	0	0	2.219556e+02	1.147411e+03	DCN
GO_Biological_Process_2023	Angiotensin-Activated Signaling Pathway (GO:0038166)	1/6	5.687116e-03	2.375207e-02	0	0	2.219556e+02	1.147411e+03	CAMK2A
GO_Biological_Process_2023	Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process (GO:1902108)	1/6	5.687116e-03	2.375207e-02	0	0	2.219556e+02	1.147411e+03	CAMK2A
GO_Biological_Process_2023	Neuron Projection Guidance (GO:0097485)	2/124	6.085623e-03	2.504807e-02	0	0	1.915043e+01	9.770218e+01	RELN;BDNF
GO_Biological_Process_2023	Cellular Response To Angiotensin (GO:1904385)	1/7	6.631989e-03	2.580116e-02	0	0	1.849537e+02	9.277001e+02	CAMK2A
GO_Biological_Process_2023	Cellular Response To Potassium Ion (GO:0035865)	1/7	6.631989e-03	2.580116e-02	0	0	1.849537e+02	9.277001e+02	DLG2
GO_Biological_Process_2023	Response To Potassium Ion (GO:0035864)	1/7	6.631989e-03	2.580116e-02	0	0	1.849537e+02	9.277001e+02	DLG2
GO_Biological_Process_2023	Sodium-Dependent Phosphate Transport (GO:0044341)	1/7	6.631989e-03	2.580116e-02	0	0	1.849537e+02	9.277001e+02	SLC17A7
GO_Biological_Process_2023	Cellular Response To Metal Ion (GO:0071248)	2/135	7.173331e-03	2.723528e-02	0	0	1.755683e+01	8.668485e+01	DLG2;SYT1
GO_Biological_Process_2023	Potassium Ion Transmembrane Transport (GO:0071805)	2/137	7.379922e-03	2.723528e-02	0	0	1.729499e+01	8.490097e+01	KCNC1;KCNK2
GO_Biological_Process_2023	Regulation Of Dendritic Spine Maintenance (GO:1902950)	1/8	7.576012e-03	2.723528e-02	0	0	1.585238e+02	7.740350e+02	GRIN2B
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion-Dependent Exocytosis (GO:0045956)	1/8	7.576012e-03	2.723528e-02	0	0	1.585238e+02	7.740350e+02	SYT1
GO_Biological_Process_2023	Positive Regulation Of Synapse Maturation (GO:0090129)	1/8	7.576012e-03	2.723528e-02	0	0	1.585238e+02	7.740350e+02	RELN
GO_Biological_Process_2023	Positive Regulation Of Dendritic Spine Morphogenesis (GO:0061003)	1/8	7.576012e-03	2.723528e-02	0	0	1.585238e+02	7.740350e+02	RELN
GO_Biological_Process_2023	Regulation Of Receptor Binding (GO:1900120)	1/9	8.519186e-03	2.950547e-02	0	0	1.387014e+02	6.609724e+02	BDNF
GO_Biological_Process_2023	Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane (GO:0031629)	1/9	8.519186e-03	2.950547e-02	0	0	1.387014e+02	6.609724e+02	SNAP25
GO_Biological_Process_2023	Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900747)	1/9	8.519186e-03	2.950547e-02	0	0	1.387014e+02	6.609724e+02	DCN
GO_Biological_Process_2023	Axon Guidance (GO:0007411)	2/149	8.675622e-03	2.968526e-02	0	0	1.587355e+01	7.535552e+01	RELN;BDNF
GO_Biological_Process_2023	Regulation Of Synapse Maturation (GO:0090128)	1/10	9.461511e-03	3.124499e-02	0	0	1.232840e+02	5.745677e+02	RELN
GO_Biological_Process_2023	Regulation Of Mitochondrial Depolarization (GO:0051900)	1/10	9.461511e-03	3.124499e-02	0	0	1.232840e+02	5.745677e+02	DCN
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Cell Apoptotic Process (GO:0010665)	1/10	9.461511e-03	3.124499e-02	0	0	1.232840e+02	5.745677e+02	CAMK2A
GO_Biological_Process_2023	Neurotransmitter Biosynthetic Process (GO:0042136)	1/11	1.040299e-02	3.319605e-02	0	0	1.109500e+02	5.065602e+02	GAD1
GO_Biological_Process_2023	Neurotransmitter Uptake (GO:0001504)	1/11	1.040299e-02	3.319605e-02	0	0	1.109500e+02	5.065602e+02	SNAP25
GO_Biological_Process_2023	Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:1902548)	1/11	1.040299e-02	3.319605e-02	0	0	1.109500e+02	5.065602e+02	DCN
GO_Biological_Process_2023	Spinal Cord Development (GO:0021510)	1/12	1.134362e-02	3.464072e-02	0	0	1.008586e+02	4.517557e+02	RELN
GO_Biological_Process_2023	Positive Regulation Of Integrin-Mediated Signaling Pathway (GO:2001046)	1/12	1.134362e-02	3.464072e-02	0	0	1.008586e+02	4.517557e+02	LAMA2
GO_Biological_Process_2023	Protein Heterotetramerization (GO:0051290)	1/12	1.134362e-02	3.464072e-02	0	0	1.008586e+02	4.517557e+02	GRIN2B
GO_Biological_Process_2023	Detection Of Calcium Ion (GO:0005513)	1/12	1.134362e-02	3.464072e-02	0	0	1.008586e+02	4.517557e+02	SYT1
GO_Biological_Process_2023	Regulation Of Neuron Projection Development (GO:0010975)	2/174	1.167690e-02	3.527916e-02	0	0	1.354925e+01	6.029608e+01	RELN;BDNF
GO_Biological_Process_2023	Inhibitory Synapse Assembly (GO:1904862)	1/13	1.228340e-02	3.672090e-02	0	0	9.244907e+01	4.067303e+02	GABRA2
GO_Biological_Process_2023	Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791)	1/14	1.322233e-02	3.755143e-02	0	0	8.533333e+01	3.691390e+02	SYT1
GO_Biological_Process_2023	Synaptic Vesicle Membrane Organization (GO:0048499)	1/14	1.322233e-02	3.755143e-02	0	0	8.533333e+01	3.691390e+02	SNAP25
GO_Biological_Process_2023	Positive Regulation Of Long-Term Synaptic Potentiation (GO:1900273)	1/14	1.322233e-02	3.755143e-02	0	0	8.533333e+01	3.691390e+02	RELN
GO_Biological_Process_2023	L-glutamate Transmembrane Transport (GO:0015813)	1/14	1.322233e-02	3.755143e-02	0	0	8.533333e+01	3.691390e+02	SLC17A7
GO_Biological_Process_2023	Renal Water Homeostasis (GO:0003091)	1/14	1.322233e-02	3.755143e-02	0	0	8.533333e+01	3.691390e+02	AQP4
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	2/188	1.353028e-02	3.774659e-02	0	0	1.252056e+01	5.387376e+01	RELN;BDNF
GO_Biological_Process_2023	L-glutamate Import (GO:0051938)	1/15	1.416042e-02	3.774659e-02	0	0	7.923413e+01	3.373238e+02	SLC17A7
GO_Biological_Process_2023	Glutamine Family Amino Acid Catabolic Process (GO:0009065)	1/15	1.416042e-02	3.774659e-02	0	0	7.923413e+01	3.373238e+02	GAD1
GO_Biological_Process_2023	Positive Regulation Of Muscle Cell Differentiation (GO:0051149)	1/15	1.416042e-02	3.774659e-02	0	0	7.923413e+01	3.373238e+02	LAMA2
GO_Biological_Process_2023	Retrograde Axonal Transport (GO:0008090)	1/15	1.416042e-02	3.774659e-02	0	0	7.923413e+01	3.373238e+02	DLG2
GO_Biological_Process_2023	Neurotrophin Signaling Pathway (GO:0038179)	1/15	1.416042e-02	3.774659e-02	0	0	7.923413e+01	3.373238e+02	BDNF
GO_Biological_Process_2023	Regulation Of Cell Differentiation (GO:0045595)	2/193	1.422143e-02	3.774659e-02	0	0	1.218971e+01	5.184292e+01	RELN;BDNF
GO_Biological_Process_2023	Stabilization Of Membrane Potential (GO:0030322)	1/16	1.509767e-02	3.862827e-02	0	0	7.394815e+01	3.100805e+02	KCNK2
GO_Biological_Process_2023	Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202)	1/16	1.509767e-02	3.862827e-02	0	0	7.394815e+01	3.100805e+02	GRIN2A
GO_Biological_Process_2023	Regulation Of NMDA Receptor Activity (GO:2000310)	1/16	1.509767e-02	3.862827e-02	0	0	7.394815e+01	3.100805e+02	RELN
GO_Biological_Process_2023	Dicarboxylic Acid Catabolic Process (GO:0043649)	1/16	1.509767e-02	3.862827e-02	0	0	7.394815e+01	3.100805e+02	GAD1
GO_Biological_Process_2023	Organic Substance Transport (GO:0071702)	2/201	1.535871e-02	3.894530e-02	0	0	1.169495e+01	4.883894e+01	CAMK2A;AQP4
GO_Biological_Process_2023	Positive Regulation Of Small GTPase Mediated Signal Transduction (GO:0051057)	1/17	1.603407e-02	3.959719e-02	0	0	6.932292e+01	2.865143e+02	RELN
GO_Biological_Process_2023	Positive Regulation Of Dendrite Extension (GO:1903861)	1/17	1.603407e-02	3.959719e-02	0	0	6.932292e+01	2.865143e+02	SYT1
GO_Biological_Process_2023	Positive Regulation Of Dendrite Morphogenesis (GO:0050775)	1/17	1.603407e-02	3.959719e-02	0	0	6.932292e+01	2.865143e+02	RELN
GO_Biological_Process_2023	Regulation Of Dendrite Extension (GO:1903859)	1/18	1.696963e-02	3.972527e-02	0	0	6.524183e+01	2.659472e+02	SYT1
GO_Biological_Process_2023	Positive Regulation Of CREB Transcription Factor Activity (GO:0032793)	1/18	1.696963e-02	3.972527e-02	0	0	6.524183e+01	2.659472e+02	RELN
GO_Biological_Process_2023	Vesicle-Mediated Transport In Synapse (GO:0099003)	1/18	1.696963e-02	3.972527e-02	0	0	6.524183e+01	2.659472e+02	SNAP25
GO_Biological_Process_2023	Regulation Of Mitochondrial Membrane Permeability (GO:0046902)	1/18	1.696963e-02	3.972527e-02	0	0	6.524183e+01	2.659472e+02	CAMK2A
GO_Biological_Process_2023	Protein Heterooligomerization (GO:0051291)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	GRIN2B
GO_Biological_Process_2023	Fluid Transport (GO:0042044)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	AQP4
GO_Biological_Process_2023	Phosphate Ion Transport (GO:0006817)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	SLC17A7
GO_Biological_Process_2023	Positive Regulation Of Mitochondrial Fission (GO:0090141)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	DCN
GO_Biological_Process_2023	Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	LAMA2
GO_Biological_Process_2023	Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	DCN
GO_Biological_Process_2023	Multicellular Organismal-Level Water Homeostasis (GO:0050891)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	AQP4
GO_Biological_Process_2023	Water Transport (GO:0006833)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	AQP4
GO_Biological_Process_2023	Regulation Of Behavior (GO:0050795)	1/19	1.790435e-02	3.972527e-02	0	0	6.161420e+01	2.478562e+02	RELN
GO_Biological_Process_2023	Epithelial Cilium Movement Involved In Extracellular Fluid Movement (GO:0003351)	1/20	1.883822e-02	4.115427e-02	0	0	5.836842e+01	2.318316e+02	AQP4
GO_Biological_Process_2023	Glutamate Metabolic Process (GO:0006536)	1/20	1.883822e-02	4.115427e-02	0	0	5.836842e+01	2.318316e+02	GAD1
GO_Biological_Process_2023	Cellular Response To Nerve Growth Factor Stimulus (GO:1990090)	1/21	1.977125e-02	4.253815e-02	0	0	5.544722e+01	2.175486e+02	BDNF
GO_Biological_Process_2023	Positive Regulation Of Dendritic Spine Development (GO:0060999)	1/21	1.977125e-02	4.253815e-02	0	0	5.544722e+01	2.175486e+02	RELN
GO_Biological_Process_2023	Positive Regulation Of Developmental Process (GO:0051094)	2/233	2.028404e-02	4.331329e-02	0	0	1.005857e+01	3.920751e+01	RELN;DCN
GO_Biological_Process_2023	Regulation Of Dopamine Secretion (GO:0014059)	1/22	2.070345e-02	4.355392e-02	0	0	5.280423e+01	2.047460e+02	SYT1
GO_Biological_Process_2023	Cellular Response To Interferon-Beta (GO:0035458)	1/22	2.070345e-02	4.355392e-02	0	0	5.280423e+01	2.047460e+02	CAMK2A
GO_Biological_Process_2023	Regulation Of Extracellular Matrix Organization (GO:1903053)	1/23	2.163480e-02	4.481502e-02	0	0	5.040152e+01	1.932118e+02	LAMA2
GO_Biological_Process_2023	Regulation Of Myotube Differentiation (GO:0010830)	1/23	2.163480e-02	4.481502e-02	0	0	5.040152e+01	1.932118e+02	BDNF
GO_Biological_Process_2023	Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)	2/246	2.245114e-02	4.481502e-02	0	0	9.516393e+00	3.612817e+01	RELN;CAMK2A
GO_Biological_Process_2023	Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116)	1/24	2.256531e-02	4.481502e-02	0	0	4.820773e+01	1.827720e+02	GRIN2B
GO_Biological_Process_2023	Cell Morphogenesis Involved In Differentiation (GO:0000904)	1/24	2.256531e-02	4.481502e-02	0	0	4.820773e+01	1.827720e+02	RELN
GO_Biological_Process_2023	Gliogenesis (GO:0042063)	1/24	2.256531e-02	4.481502e-02	0	0	4.820773e+01	1.827720e+02	RELN
GO_Biological_Process_2023	Regulation Of AMPA Receptor Activity (GO:2000311)	1/24	2.256531e-02	4.481502e-02	0	0	4.820773e+01	1.827720e+02	RELN
GO_Biological_Process_2023	Regulation Of Muscle Cell Differentiation (GO:0051147)	1/24	2.256531e-02	4.481502e-02	0	0	4.820773e+01	1.827720e+02	LAMA2
GO_Biological_Process_2023	Calcium-Ion Regulated Exocytosis (GO:0017156)	1/26	2.442382e-02	4.750936e-02	0	0	4.434667e+01	1.646235e+02	SYT1
GO_Biological_Process_2023	Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088)	1/26	2.442382e-02	4.750936e-02	0	0	4.434667e+01	1.646235e+02	DLG2
GO_Biological_Process_2023	Negative Regulation Of Catalytic Activity (GO:0043086)	1/26	2.442382e-02	4.750936e-02	0	0	4.434667e+01	1.646235e+02	CAMK2A
GO_Biological_Process_2023	Regulation Of Mitochondrial Fission (GO:0090140)	1/27	2.535182e-02	4.864809e-02	0	0	4.263889e+01	1.566938e+02	DCN
GO_Biological_Process_2023	Regulation Of Catecholamine Secretion (GO:0050433)	1/27	2.535182e-02	4.864809e-02	0	0	4.263889e+01	1.566938e+02	SYT1
GO_Biological_Process_2023	Negative Regulation Of Signal Transduction (GO:0009968)	2/267	2.614610e-02	4.975488e-02	0	0	8.752941e+00	3.189620e+01	BDNF;DCN
GO_Biological_Process_2023	Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158)	1/28	2.627899e-02	4.975488e-02	0	0	4.105761e+01	1.494081e+02	SYT1
GO_Biological_Process_2023	Maintenance Of Blood-Brain Barrier (GO:0035633)	1/29	2.720532e-02	5.017084e-02	0	0	3.958929e+01	1.426934e+02	LAMA2
GO_Biological_Process_2023	Response To Interferon-Beta (GO:0035456)	1/29	2.720532e-02	5.017084e-02	0	0	3.958929e+01	1.426934e+02	CAMK2A
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Transport (GO:0051928)	1/29	2.720532e-02	5.017084e-02	0	0	3.958929e+01	1.426934e+02	CAMK2A
GO_Biological_Process_2023	Positive Regulation Of Endopeptidase Activity (GO:0010950)	1/29	2.720532e-02	5.017084e-02	0	0	3.958929e+01	1.426934e+02	GRIN2B
GO_Biological_Process_2023	Regulation Of Dendritic Spine Morphogenesis (GO:0061001)	1/30	2.813081e-02	5.121250e-02	0	0	3.822222e+01	1.364873e+02	RELN
GO_Biological_Process_2023	Positive Regulation Of Cell Communication (GO:0010647)	1/30	2.813081e-02	5.121250e-02	0	0	3.822222e+01	1.364873e+02	SYT1
